organisms,samples,series_accession,series_id,submitter_supplied,title,type,count,mean,pre_value,standard_deviation,value_description,cluster
Bacillus subtilis,8,GSE22370,200022370,Comparison of the B subtilis rok mutant vs wild type (sample 1-4) and rok-comK mutant vs comK mutant (sample 5-8),159. Role of Rok in biofilm structure development of Bacillus subtilis 168,Expression profiling by array,4049.0,0.05394747551397884,,0.5719882119318055,LN ratio (Target / Control = Mutant / Wild type) and grid based lowess normalisation,1
Bacillus subtilis,8,GSE30000,200030000,Transcriptional response of Bacillus subtilis to daptomycin in wild-type and in a daptomycin resistant mutant.,154. Reduction in membrane phosphatidylglycerol content leads to daptomycin resistance in Bacillus subtilis,Expression profiling by array,4103.0,0.07514613697294645,Fold change representing test sample/reference sample,1.1474353445578462,log2 of PRE_VALUE,1
Bacillus subtilis subsp. subtilis str. 168,8,GSE66893,200066893,This SuperSeries is composed of the SubSeries listed below.,56. Tracking the elusive function of Bacillus subtilis Hfq,Expression profiling by genome tiling array,4025.0,9.99814608695651,,2.553074339405346,Normalized gene-level expression measure (log2-scale).,0
Bacillus subtilis subsp. subtilis str. 168,7,GSE73315,200073315,"Bacillus subtilis mutants lacking the SMC-ScpAB complex are severely impaired for chromosome condensation and partitioning, DNA repair, and cells are not viable under standard laboratory conditions. We isolated suppressor mutations that restored the capacity of a smc deletion mutant (Δsmc) to grow under standard conditions. These suppressor mutations reduced chromosome segregation defects and abrogated hypersensitivity to gyrase inhibitors of Δsmc. more...",51. Constitutive stringent response restores viability of Bacillus subtilis lacking Structural Maintenance of Chromosome protein,Expression profiling by array,4025.0,10.536337316770206,,2.516553973487332,Normalized gene-level expression measure (log2-scale),0
Bacillus subtilis,7,GSE45824,200045824,One of the first steps in bacterial cell division is the polymerization of the tubulin-like protein FtsZ at midcell. The dynamics of FtsZ polymerization is regulated by a set of proteins among which ZapA. A zapA mutation does not result in a clear phenotype in Bacillus subtilis. In this study we used a synthetic-lethal screen to find genes that become essential when ZapA is absent. Three transposon insertions were found in yvcL. more...,95. The conserved DNA-binding protein WhiA is involved in cell division in Bacillus subtilis,Expression profiling by array,4030.0,11.09078616052704,,2.8242114340702744,log2 RMA values,0
Bacillus subtilis,5,GSE94788,200094788,"The cell division protein SepF aligns polymers formed by the key cell division protein FtsZ during synthesis of the (Fts)Z-ring at midcell, the first stage in cytokinesis. In addition, SepF acts as a membrane anchor for the Z-ring. SepF is conserved in Gram-positive and cyanobacteria. Recently, it was shown that SepF overproduction in Mycobacterium smegmatis blocks cell division. Here we investigated this in more detail using the Gram-positive model system Bacillus subtilis. more...",8. Free SepF blocks recruitment of late cell division proteins,Expression profiling by array,4105.0,10.597967742192942,,3.157749426529899,log2 RMA values,0
Bacillus subtilis,5,GSE61757,200061757,"Gene expression can be highly heterogeneous in clonal cell populations. An extreme type of heterogeneity is the so-called bistable or bimodal expression, whereby a cell can differentiate into two alternative expression states, and consequently a population will be composed of cells that are ‘ON’ and cells that are ‘OFF’. Stochastic fluctuations of protein levels, also referred to as noise, provide the necessary source of heterogeneity that must be amplified by autostimulatory feedback regulation to obtain the bimodal response. more...",21. A novel feedback loop  that controls bimodal expression of genetic competence,Expression profiling by array,4105.0,10.61295651218244,,3.1533799224111805,log2 RMA values,0
Bacillus subtilis subsp. subtilis str. 168,4,GSE66892,200066892,"Transcriptomic analysis of Bacillus subtilis wild-type strain and hfq mutant in stationary phase of growth using to tiling array gene expression analysis. RNA-binding protein Hfq is a key component of the adaptive responses of many proteobacterial species. In these organisms, the importance of Hfq largely stems from its participation to regulatory mechanisms involving small non-coding RNAs. In contrast, the function of Hfq in Gram-positive bacteria has remained elusive. more...",57. Tracking the elusive function of Bacillus subtilis Hfq (Agilent),Expression profiling by genome tiling array,4025.0,9.22877813664597,,1.9477666978984816,Normalized gene-level expression measure (log2-scale).,0
Bacillus subtilis subsp. subtilis str. 168,4,GSE66891,200066891,"Transcriptomic analysis of Bacillus subtilis hfq mutant in exponential phase of growth. Wild-type strain and hfq mutant cells in exponentially growth phase were subjected to tiling array gene expression analysis. RNA-binding protein Hfq is a key component of the adaptive responses of many proteobacterial species. In these organisms, the importance of Hfq largely stems from its participation to regulatory mechanisms involving small non-coding RNAs. more...",58. Tracking the elusive function of Bacillus subtilis Hfq (NimbleGen),Expression profiling by genome tiling array,4025.0,9.99814608695651,,2.553074339405346,Normalized gene-level expression measure (log2-scale).,0
Bacillus subtilis,4,GSE85492,200085492,"The integrity of the bacterial cell envelope is essential to sustain life by countering the high turgor pressure of the cell and providing a barrier against chemical insults. In Bacillus subtilis, synthesis of both peptidoglycan and wall teichoic acids requires a common C55 lipid carrier, undecaprenyl-pyrophosphate (UPP), to ferry precursors across the cytoplasmic membrane. The synthesis and recycling of UPP requires a phosphatase to generate the monophosphate form Und-P, which is the substrate for peptidoglycan and wall teichoic acid synthases. more...",29. Depletion of undecaprenyl pyrophosphate phosphatases (UPP-Pases) disrupts cell envelope biogenesis in Bacillus subtilis,Expression profiling by array,4102.0,0.0491299050019502,,0.4276946393053141,Normalized log 10 ratio (Depletion strain vs WT),1
Bacillus subtilis,4,GSE55202,200055202,Transcriptional profile of the sigA (G336C) mutant during log growth phase in LB medium.,"85. Bacillus subtilis W168, WT vs. sigA (G336C)",Expression profiling by array,4104.0,0.1984538255360617,,1.6269840820477115,log2 of FoldChange (mutant/wt),1
Bacillus subtilis,4,GSE45305,200045305,Transcriptional profile of the uppS-RBS (A to C) mutant during log growth phase in LB medium.,"108. Bacillus subtilis W168, WT vs. uppS-RBS (A to C)",Expression profiling by array,4103.0,0.06221591518401186,average of mutant/average of wild type,0.9392588365725736,log2 of mutant/wild type,1
Bacillus subtilis,3,GSE30001,200030001,Transcriptional response of Bacillus subtilis to moenomycin in wild-type 168.,153. Bacillus subtilis 168 moenomycin stimulon,Expression profiling by array,4104.0,0.79158791423002,Fold changes equal to average of moenomycin treated sample  (635) / average of untreated sample (532). Ave represents the average of medians for duplicate spots (minus median of background).,2.0469602658308843,log2 of PRE_VALUE,1
Bacillus subtilis,3,GSE34414,200034414,Genome-wide comparative transcriptome analysis of the Bacillus subtilis parent strain PY79 and its yvfI derivative with yvfI::T10::spc (TEK1) grown in PA medium Detailed description of sample preparation and microarray conditions can be also found in Irigul et al to be submitted,93. Identification of the genes regulated by YvfI transcriptional factor,Expression profiling by array,3978.0,0.037672923240070585,,0.632187457688631,LN ratio (Target / Control = Mutant / Wild type) and grid based lowess normalisation,1
Bacillus subtilis,3,GSE47409,200047409,Transcriptional profiling of Bacillus subtilis str 3610 cells comparing sinR-/epsH- cells to sinR-/epsH-/remA- cells in MSgg Medium at optical density (600nm) of 1.0,105. Undomesticated Bacillus subtilis RemA regulon,Expression profiling by array,4030.0,-0.11478893909007426,,0.8358258843433487,normalized log 2 ratio (remA-/remA+),1
Bacillus subtilis,3,GSE13900,200013900,Abstract of associated manuscript: Daptomycin is the first of a new class of cyclic lipopeptide antibiotics used against multidrug-resistant Gram-positive pathogens. The proposed mechanism of action involves disruption of the functional integrity of the bacterial membrane in a Ca2+-dependent manner. We have used transcriptional profiling to demonstrate that treatment of Bacillus subtilis with daptomycin strongly induces the lia operon including the autoregulatory LiaRS two-component system (homologous to Staphylococcus aureus VraSR). more...,189. Daptomycin stimulon in Bacillus subtilis W168,Expression profiling by array,4099.0,0.025221737009026548,,0.6754514106388585,"log2 of ""Foldchanges""",1
